comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
3.03          313                1                  0    1        32        61        1         0         5         10000     10000     100              300         1           0           16            .042829      .200801     .012847           4.377000            4.376995           4.620000             6             0
2.96          303                1                  0    1        32        61        1         0         5         10000     10000     100              300         0           0           16            .009268      NA          .022870           4.366790            4.366779           4.380000             6             0
3.07          312                1                  0    1        32        61        1         0         5         10000     10000     100              300         1           0           16            .037728      .204873     .007458           4.458040            4.458037           4.700000             6             0
2.85          302                1                  0    1        32        61        1         0         5         10000     10000     1000             300         0           0           16            .009623      NA          .027623           4.415138            4.415127           4.430000             4             0
3.09          312                1                  0    1        32        61        1         0         5         10000     10000     1000             300         1           0           16            .016665      .019298     .006884           4.429695            4.429691           4.470000             6             0
2.86          304                1                  0    1        32        61        1         0         5         10000     10000     1000             300         0           0           16            .008794      NA          .033493           4.447457            4.447436           4.450000             4             0
2.86          312                1                  0    1        32        61        1         0         5         10000     10000     1000             300         1           0           16            .016124      .018923     .006371           4.462671            4.462668           4.500000             6             0
2.91          303                1                  0    1        32        61        1         0         5         10000     10000     1000             300         0           0           16            .014675      NA          .025710           4.469492            4.469482           4.480000             4             0
3.17          312                1                  0    1        32        61        1         0         5         10000     10000     1000             300         1           0           16            .016442      .017728     .007431           4.448659            4.448655           4.480000             6             0
2.85          303                1                  0    1        32        61        1         0         5         10000     10000     1000             300         0           0           16            .007835      NA          .029702           4.412174            4.412153           4.420000             4             0
3.03          311                1                  0    1        32        61        1         0         5         10000     10000     1000             300         1           0           16            .016160      .017957     .007037           4.420771            4.420767           4.450000             6             0
2.82          304                1                  0    1        32        61        1         0         5         10000     10000     1000             300         0           0           16            .009427      NA          .023871           4.405336            4.405324           4.410000             4             0
