comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.03          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             1000000     0           1           2             .001556      NA          .022523           .204893             .265544            .266666              319           208
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             10          0           1           2             .000259      NA          .000033           .000423             .000609            .000833              3             255
0.01          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             100         0           1           2             .000412      NA          .000038           .000393             .000600            .001250              9             250
0.01          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             1000        0           1           2             .000357      NA          .000055           .000556             .000695            .001250              4             259
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             10000       0           1           2             .000403      NA          .000257           .002485             .003390            .003750              7             207
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             100000      0           1           2             .000668      NA          .002502           .021401             .029384            .030000              35            211
0.01          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             1000000     0           1           2             .001588      NA          .022292           .201163             .262027            .263333              328           208
0.01          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             10          0           1           2             .000711      NA          .000027           .000488             .000712            .001250              3             182
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             100         0           1           2             .000412      NA          .000034           .000390             .000602            .001250              3             253
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             1000        0           1           2             .000386      NA          .000062           .000607             .000809            .001250              4             277
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             10000       0           1           2             .000716      NA          .000273           .002610             .003890            .004583              7             188
0.02          3                  1                  0    4        256       405       1         0         5         10000     10000     1              2500             100000      0           1           2             .000497      NA          .002531           .022518             .026940            .027500              36            235
