program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
31;FIELD;malhonest;malicious-shamir;3;0.17;18;1;12;1;NA;NA;NA;NA;1248;756;NA;87;12;0.153131;0.24;22;68;~104;3.56946;10.3876;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;FIELD;malhonest;malicious-shamir;3;0.17;18;1;14;1;NA;NA;NA;NA;1456;882;NA;101;14;0.116124;0.19;22;78;~118;3.57765;10.4121;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;RING;semihonest;replicated-ring;3;0.13;17;1;4;1;NA;NA;NA;NA;NA;NA;252;91;4;0.0319783;0.12;17;51;~113;0.401588;0.96394;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;RING;semihonest;replicated-ring;3;0.14;17;1;6;1;NA;NA;NA;NA;NA;NA;378;135;6;0.0358849;0.11;15;55;~129;0.401762;0.96443;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;RING;semihonest;replicated-ring;3;0.14;17;1;8;1;NA;NA;NA;NA;NA;NA;504;179;8;0.0396916;0.12;15;53;~145;0.401936;0.96492;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;RING;semihonest;replicated-ring;3;0.14;17;1;10;1;NA;NA;NA;NA;NA;NA;630;223;10;0.0379269;0.12;15;54;~161;0.40211;0.96541;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;RING;semihonest;replicated-ring;3;0.13;17;1;12;1;NA;NA;NA;NA;NA;NA;756;267;12;0.0412601;0.12;15;52;~177;0.402284;0.9659;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;RING;semihonest;replicated-ring;3;0.13;17;1;14;1;NA;NA;NA;NA;NA;NA;882;311;14;0.0408692;0.12;15;51;~193;0.402458;0.96639;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;ccd;3;0.30;22;1;NA;NA;NA;256;64;NA;NA;NA;1036;206;4;0.0148312;0.06;10;73;NA;0.002648;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.002584;105;0.0133186;NA;NA;NA;6.4e-05;1;0.000267712;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;ccd;3;0.33;22;1;NA;NA;NA;384;64;NA;NA;NA;1554;308;6;0.01882;0.06;10;75;NA;0.00394;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.003876;157;0.0169872;NA;NA;NA;6.4e-05;1;0.000307555;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;ccd;3;0.37;23;1;NA;NA;NA;512;64;NA;NA;NA;2072;410;8;0.0241455;0.07;10;77;NA;0.005232;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.005168;209;0.022254;NA;NA;NA;6.4e-05;1;0.000247505;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;ccd;3;0.42;23;1;NA;NA;NA;640;64;NA;NA;NA;2590;512;10;0.0316745;0.08;10;78;NA;0.006524;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00646;261;0.0294192;NA;NA;NA;6.4e-05;1;0.000250928;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;ccd;3;0.45;24;1;NA;NA;NA;768;64;NA;NA;NA;3108;614;12;0.0397908;0.09;12;76;NA;0.007816;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.007752;313;0.0370784;NA;NA;NA;6.4e-05;1;0.000301418;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;ccd;3;0.49;25;1;NA;NA;NA;896;64;NA;NA;NA;3626;716;14;0.0436975;0.09;12;79;NA;0.009108;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.009044;365;0.0410938;NA;NA;NA;6.4e-05;1;0.00033895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;replicated-bin;3;0.30;22;1;NA;NA;NA;256;64;NA;NA;NA;1036;206;4;0.0159304;0.06;11;56;NA;0.001348;NA;4.8e-05;3;0.0140423;4.8e-05;3;0.0156313;NA;NA;NA;NA;NA;NA;0.0013;106;0.0134109;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;replicated-bin;3;0.33;22;1;NA;NA;NA;384;64;NA;NA;NA;1554;308;6;0.0175322;0.06;9;51;NA;0.001994;NA;4.8e-05;3;0.0163961;4.8e-05;3;0.0173231;NA;NA;NA;NA;NA;NA;0.001946;158;0.0157025;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;replicated-bin;3;0.37;23;1;NA;NA;NA;512;64;NA;NA;NA;2072;410;8;0.0225702;0.07;9;51;NA;0.00264;NA;4.8e-05;3;0.0208424;4.8e-05;3;0.0229822;NA;NA;NA;NA;NA;NA;0.002592;210;0.020062;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;replicated-bin;3;0.42;23;1;NA;NA;NA;640;64;NA;NA;NA;2590;512;10;0.0274947;0.07;9;60;NA;0.003286;NA;4.8e-05;3;0.0257668;4.8e-05;3;0.0281693;NA;NA;NA;NA;NA;NA;0.003238;262;0.0245967;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;replicated-bin;3;0.45;24;1;NA;NA;NA;768;64;NA;NA;NA;3108;614;12;0.0339963;0.08;11;54;NA;0.003932;NA;4.8e-05;3;0.0327897;4.8e-05;3;0.0333586;NA;NA;NA;NA;NA;NA;0.003884;314;0.0317813;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semihonest;replicated-bin;3;0.49;25;1;NA;NA;NA;896;64;NA;NA;NA;3626;716;14;0.041259;0.09;9;59;NA;0.004578;NA;4.8e-05;3;0.040333;4.8e-05;3;0.0407125;NA;NA;NA;NA;NA;NA;0.00453;366;0.0389099;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yao;2;0.30;22;1;NA;NA;NA;256;64;NA;NA;NA;1036;206;4;0.0164302;0.04;11;48;NA;0.033216;NA;0.033216;4;0.000371975;8e-06;1;0.00112939;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yao;2;0.33;22;1;NA;NA;NA;384;64;NA;NA;NA;1554;308;6;0.0164305;0.04;13;61;NA;0.049792;NA;0.049792;4;0.000293654;8e-06;1;0.00107215;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yao;2;0.37;23;1;NA;NA;NA;512;64;NA;NA;NA;2072;410;8;0.0163993;0.04;11;63;NA;0.066368;NA;0.066368;4;0.00031407;8e-06;1;0.00126508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yao;2;0.42;23;1;NA;NA;NA;640;64;NA;NA;NA;2590;512;10;0.0167011;0.04;13;63;NA;0.082944;NA;0.082944;4;0.000379638;8e-06;1;0.0012665;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yao;2;0.45;24;1;NA;NA;NA;768;64;NA;NA;NA;3108;614;12;0.016836;0.03;11;61;NA;0.09952;NA;0.09952;4;0.000463884;8e-06;1;0.00139436;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yao;2;0.49;25;1;NA;NA;NA;896;64;NA;NA;NA;3626;716;14;0.0170877;0.04;11;62;NA;0.116096;NA;0.116096;4;0.000554484;8e-06;1;0.00122256;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yaoO;2;0.30;22;1;NA;NA;NA;256;64;NA;NA;NA;1036;206;4;0.00200109;0.03;12;68;NA;0;NA;NA;NA;NA;0.033216;2;0.01445;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yaoO;2;0.33;22;1;NA;NA;NA;384;64;NA;NA;NA;1554;308;6;0.00185068;0.03;10;69;NA;0;NA;NA;NA;NA;0.049792;2;0.0137024;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yaoO;2;0.37;23;1;NA;NA;NA;512;64;NA;NA;NA;2072;410;8;0.00211218;0.03;10;70;NA;0;NA;NA;NA;NA;0.066368;2;0.014075;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yaoO;2;0.42;23;1;NA;NA;NA;640;64;NA;NA;NA;2590;512;10;0.00190948;0.03;10;66;NA;0;NA;NA;NA;NA;0.082944;2;0.0138516;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yaoO;2;0.45;24;1;NA;NA;NA;768;64;NA;NA;NA;3108;614;12;0.00231754;0.03;10;71;NA;0;NA;NA;NA;NA;0.09952;2;0.0135638;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BINARY;semidishonest;yaoO;2;0.49;25;1;NA;NA;NA;896;64;NA;NA;NA;3626;716;14;0.00224347;0.04;10;70;NA;0;NA;NA;NA;NA;0.116096;2;0.0135713;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
