program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 0              1000000     6.28135              6.57                 475           988%       ~18120        795.407         2370.22          31.09            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 0              1000000     6.31382              6.60                 480           978%       ~18120        795.407         2370.22          30.57            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 25             1000000     23.8699              24.62                471           281%       ~18120        795.407         2370.22          31.03            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 25             1000000     24.0022              24.78                478           282%       ~18120        795.407         2370.22          31.12            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 25             1000000     24.0136              24.77                466           282%       ~18120        795.407         2370.22          31.31            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 25             1000000     23.7385              24.49                466           283%       ~18120        795.407         2370.22          30.86            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 25             1000000     23.725               24.51                465           284%       ~18120        795.407         2370.22          31.54            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 25             1000000     23.7708              24.55                467           284%       ~18120        795.407         2370.22          30.69            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 25             1000000     23.8141              24.56                468           283%       ~18120        795.407         2370.22          30.53            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 25             1000000     23.7853              24.53                464           281%       ~18120        795.407         2370.22          30.82            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 25             1000000     23.889               24.66                466           284%       ~18120        795.407         2370.22          30.86            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 25             1000000     23.7267              24.64                475           284%       ~18120        795.407         2370.22          31.29            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 50             1000000     44.6582              45.99                468           156%       ~18120        795.407         2370.22          31.90            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 50             1000000     44.6482              45.94                462           154%       ~18120        795.407         2370.22          31.73            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 50             1000000     44.6277              45.99                466           154%       ~18120        795.407         2370.22          30.83            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 50             1000000     44.5823              45.93                472           153%       ~18120        795.407         2370.22          30.83            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 50             1000000     44.6091              45.95                464           155%       ~18120        795.407         2370.22          31.87            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 50             1000000     44.6099              46.04                475           157%       ~18120        795.407         2370.22          32.64            on,threads             
