comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     75             1000             1           1           1           0             .171289      .188918     .013327           .084283             .130283            .242916              196           187
0.03          3                  1                  0    4        256       171       1         0         5         10000     10000     75             100              1           0           1           0             .002531      NA          .020656           2.291040            2.291957           2.294166             191           23
0.02          3                  1                  0    4        256       171       1         0         5         10000     10000     75             100              1           1           1           0             1.410823     1.417603    .015121           .885848             .893286            2.305833             214           24
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     1              25000            1           0           1           0             .001042      NA          .011481           .012362             .014372            .015833              118           1854
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     1              25000            1           1           1           0             .004761      .012042     .007586           .011520             .012978            .025833              182           1090
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     1              10000            1           0           1           0             .001192      NA          .012396           .021483             .025604            .026666              128           1170
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     1              10000            1           1           1           0             .011469      .016835     .008701           .014270             .016504            .032916              179           914
0.01          3                  1                  0    4        256       171       1         1         5         10000     10000     1              1000             1           0           1           0             .000828      NA          .014417           .167830             .180675            .181666              152           201
0.03          3                  1                  0    4        256       171       1         1         5         10000     10000     1              1000             1           1           1           0             .105947      .157420     .011445           .074791             .106950            .187916              183           204
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     1              100              1           0           1           0             .001036      NA          .016401           1.627512            1.667167           1.668333             154           24
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     1              100              1           1           1           0             .929884      .932641     .012757           .978151             1.338159           1.670000             182           27
0.01          3                  1                  0    4        256       171       1         1         5         10000     10000     25             25000            1           0           1           0             .000679      NA          .010636           .012177             .013874            .015000              123           1826
0.03          3                  1                  0    4        256       171       1         1         5         10000     10000     25             25000            1           1           1           0             .005529      .012286     .007894           .012112             .013485            .025833              183           1141
0.01          3                  1                  0    4        256       171       1         1         5         10000     10000     25             10000            1           0           1           0             .000802      NA          .011792           .021160             .022358            .023333              137           1302
0.01          3                  1                  0    4        256       171       1         1         5         10000     10000     25             10000            1           1           1           0             .009737      .016712     .008574           .014324             .017539            .031666              181           958
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     25             1000             1           0           1           0             .000796      NA          .014270           .159657             .165695            .166666              152           217
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     25             1000             1           1           1           0             .097159      .107560     .011927           .075499             .098577            .172083              182           231
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     25             100              1           0           1           0             .002538      NA          .017278           1.607467            1.612771           1.614166             152           26
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     25             100              1           1           1           0             .839472      .849448     .013158           .774967             .778384            1.624583             182           28
0.01          3                  1                  0    4        256       171       1         1         5         10000     10000     50             25000            1           0           1           0             .000757      NA          .010875           .012270             .013113            .014166              115           1964
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     50             25000            1           1           1           0             .003602      .012090     .007183           .011320             .013638            .024583              180           1100
0.01          3                  1                  0    4        256       171       1         1         5         10000     10000     50             10000            1           0           1           0             .001047      NA          .011676           .020731             .022061            .023333              137           1301
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     50             10000            1           1           1           0             .010229      .017469     .008424           .014635             .017640            .032500              181           922
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     50             1000             1           0           1           0             .001153      NA          .014690           .159742             .164926            .166250              149           223
0.03          3                  1                  0    4        256       171       1         1         5         10000     10000     50             1000             1           1           1           0             .129923      .114861     .011635           .071857             .102945            .175000              179           219
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     50             100              1           0           1           0             .003147      NA          .017253           1.612053            1.612709           1.614583             166           28
0.01          3                  1                  0    4        256       171       1         1         5         10000     10000     50             100              1           1           1           0             .839450      .845302     .013447           .775177             .778032            1.624583             180           30
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     75             25000            1           0           1           0             .001049      NA          .010899           .012264             .014201            .015416              118           1796
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     75             25000            1           1           1           0             .003990      .012096     .007684           .011545             .014587            .025000              183           1147
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     75             10000            1           0           1           0             .000728      NA          .011742           .020842             .022042            .022916              140           1339
0.03          3                  1                  0    4        256       171       1         1         5         10000     10000     75             10000            1           1           1           0             .009616      .018378     .008699           .014377             .018032            .033333              183           926
0.01          3                  1                  0    4        256       171       1         1         5         10000     10000     75             1000             1           0           1           0             .000752      NA          .014297           .158736             .164097            .165000              152           219
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     75             1000             1           1           1           0             .109742      .136398     .011698           .074722             .103020            .175416              181           223
0.02          3                  1                  0    4        256       171       1         1         5         10000     10000     75             100              1           0           1           0             .000685      NA          .017555           1.612301            1.612662           1.615000             154           28
0.01          3                  1                  0    4        256       171       1         1         5         10000     10000     75             100              1           1           1           0             .841012      .846334     .013080           .775279             .779591            1.624583             181           27
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     1              25000            1           0           1           0             .001222      NA          .013011           .016002             .017493            .019166              121           1733
0.01          3                  1                  0    4        256       271       1         0         5         10000     10000     1              25000            1           1           1           0             .004674      .013334     .009560           .014688             .017797            .030416              184           1106
0.01          3                  1                  0    4        256       271       1         0         5         10000     10000     1              10000            1           0           1           0             .000866      NA          .014631           .028091             .031237            .032083              151           1153
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     1              10000            1           1           1           0             .013045      .020573     .011687           .019610             .022992            .041666              190           926
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     1              1000             1           0           1           0             .000926      NA          .017100           .234126             .246778            .247916              166           174
0.01          3                  1                  0    4        256       271       1         0         5         10000     10000     1              1000             1           1           1           0             .148945      .147954     .013502           .123277             .170582            .252083              185           178
0.03          3                  1                  0    4        256       271       1         0         5         10000     10000     1              100              1           0           1           0             .001325      NA          .019779           2.248713            2.310217           2.311666             178           21
0.03          3                  1                  0    4        256       271       1         0         5         10000     10000     1              100              1           1           1           0             1.222498     1.148595    .015466           1.440191            1.964555           2.326250             192           23
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     25             25000            1           0           1           0             .000785      NA          .013143           .016421             .018316            .019166              121           1761
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     25             25000            1           1           1           0             .005361      .014332     .009780           .014786             .017803            .031666              192           1107
0.03          3                  1                  0    4        256       271       1         0         5         10000     10000     25             10000            1           0           1           0             .000889      NA          .014744           .028038             .029396            .030416              147           1226
