program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0590579            0.28                 218           234%       ~20           16.0002         48.0005          0.23             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0675836            0.32                 218           217%       ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0649936            0.31                 217           241%       ~20           16.0002         48.0005          0.31             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0630176            0.32                 220           231%       ~20           16.0002         48.0005          0.24             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0768106            0.34                 218           209%       ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0619906            0.30                 216           231%       ~20           16.0002         48.0005          0.21             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0645202            0.29                 218           216%       ~20           16.0002         48.0005          0.19             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.070779             0.32                 213           207%       ~20           16.0002         48.0005          0.19             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0559946            0.29                 216           244%       ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.173014             0.40                 214           168%       ~20           16.0002         48.0005          0.20             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.179516             0.43                 216           192%       ~20           16.0002         48.0005          0.28             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.179947             0.43                 218           191%       ~20           16.0002         48.0005          0.25             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.175172             0.42                 218           154%       ~20           16.0002         48.0005          0.16             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.174476             0.44                 218           194%       ~20           16.0002         48.0005          0.27             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.179252             0.42                 219           174%       ~20           16.0002         48.0005          0.25             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.177256             0.43                 222           190%       ~20           16.0002         48.0005          0.29             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.178338             0.42                 219           176%       ~20           16.0002         48.0005          0.24             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.178964             0.43                 216           168%       ~20           16.0002         48.0005          0.21             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.179213             0.46                 218           172%       ~20           16.0002         48.0005          0.28             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.57345              1.85                 220           47%        ~20           16.0002         48.0005          0.27             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.73185              1.99                 215           46%        ~20           16.0002         48.0005          0.31             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.40523              1.67                 219           53%        ~20           16.0002         48.0005          0.31             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.64061              1.89                 213           46%        ~20           16.0002         48.0005          0.30             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.56514              1.85                 218           49%        ~20           16.0002         48.0005          0.28             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.50474              1.75                 221           51%        ~20           16.0002         48.0005          0.33             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.72171              2.01                 216           46%        ~20           16.0002         48.0005          0.28             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.65127              1.91                 216           49%        ~20           16.0002         48.0005          0.26             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.39687              1.64                 212           50%        ~20           16.0002         48.0005          0.27             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100              1000000     1.59645              1.88                 224           48%        ~20           16.0002         48.0005          0.28             on,threads             
