program  c.domain  adv.model      protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 50             300         2018.5               2019.92              1198          58%        ~999706       4730.03         14105.4          681.32           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 50             300         2020.02              2021.43              1135          58%        ~999706       4730.03         14105.4          682.71           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 50             300         2019.23              2020.63              1138          58%        ~999706       4730.03         14105.4          679.97           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 75             300         3021.84              3023.74              1298          40%        ~999706       4730.03         14105.4          711.88           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 75             300         3017.31              3019.24              1269          40%        ~999706       4730.03         14105.4          707.51           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 75             300         3016.67              3018.57              1270          40%        ~999706       4730.03         14105.4          709.15           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 75             300         3014.66              3016.64              1264          40%        ~999706       4730.03         14105.4          713.19           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 75             300         3016.35              3018.28              1162          40%        ~999706       4730.03         14105.4          707.92           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 75             300         3019.11              3021.05              1249          40%        ~999706       4730.03         14105.4          706.89           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 75             300         3018.03              3019.96              1266          40%        ~999706       4730.03         14105.4          712.66           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 75             300         3023.27              3025.24              1257          40%        ~999706       4730.03         14105.4          708.52           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 75             300         3020.88              3022.84              1229          40%        ~999706       4730.03         14105.4          709.10           on,threads             
64       RING      semidishonest  semi2k           3          NA            NA                 NA                 75             300         3024.09              3026.04              1248          40%        ~999706       4730.03         14105.4          707.04           on,threads             
