comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.72          290                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           2               16            .013244      1.015041    .014980           23.051390           23.051384          24.080000            5             0
2.59          291                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           2               16            1.038521     .010052     .011413           18.089483           18.089479          19.140000            5             0
2.51          291                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           2               16            .013791      .009835     .009019           19.857831           19.857828          19.880000            5             0
2.55          290                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           5               16            1.034482     .012441     .014522           44.369676           44.369671          45.420000            5             0
2.69          290                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           5               16            .015666      7.061841    .015467           46.697424           46.697421          53.780000            5             0
2.59          291                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           5               16            2.719580     .432146     .015930           41.240407           41.240402          44.390000            5             0
2.69          290                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           5               16            2.039435     1.021841    .016054           49.032081           49.032075          52.090000            5             0
2.52          290                1                  0    1        32        60        1         0         5         10000     10000     0              25000            300         1           0           5               16            1.016133     .016318     .013120           45.940838           45.940834          46.970000            5             0
2.98          303                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           0               16            .008302      NA          .029515           4.440980            4.440975           4.450000             4             0
3.02          304                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           0               16            .019441      NA          .024029           4.460249            4.460240           4.480000             4             0
2.84          303                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           0               16            .007982      NA          .023162           4.464143            4.464122           4.470000             4             0
2.93          303                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           0               16            .023423      NA          .022066           4.456619            4.456611           4.480000             4             0
3.03          302                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           0               16            .009555      NA          .027394           4.456128            4.456116           4.470000             4             0
3.07          304                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           1               16            .014961      NA          .021650           8.588375            8.588367           8.600000             4             0
2.99          303                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           1               16            1.021123     NA          .033188           10.545530           10.545521          11.560000            4             0
3.01          304                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           1               16            .012758      NA          .021400           8.361916            8.361906           8.370000             4             0
3.04          303                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           1               16            .005830      NA          .022691           10.009199           10.009187          10.020000            4             0
2.86          303                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           1               16            .008736      NA          .023847           8.909597            8.909594           8.920000             4             0
2.84          304                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           2               16            .008674      NA          .019930           15.154466           15.154454          15.160000            4             0
3.00          302                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           2               16            .007278      NA          .025921           15.116524           15.116511          15.120000            4             0
2.86          303                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           2               16            .009365      NA          .025217           14.045460           14.045450          14.060000            4             0
2.87          302                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           2               16            .007745      NA          .026811           13.758058           13.758037          13.770000            4             0
2.93          304                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           2               16            1.009203     NA          .061166           14.607716           14.607695          15.620000            4             0
3.00          304                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           5               16            1.006327     NA          .029486           32.239841           32.239821          33.250000            6             0
2.92          302                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           5               16            .008947      NA          .023959           27.852974           27.852965          27.860000            4             0
3.03          303                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           5               16            1.022908     NA          .035418           33.138987           33.138980          34.160000            6             0
3.04          302                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           5               16            .008747      NA          .023718           31.423658           31.423647          31.430000            6             0
2.85          304                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         0           0           5               16            1.009989     NA          .043862           31.592534           31.592526          32.600000            4             0
3.10          313                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           0               16            .015004      .014451     .009214           4.481210            4.481206           4.510000             6             0
3.04          312                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           0               16            .015499      .013299     .007835           4.438908            4.438905           4.470000             6             0
3.09          313                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           0               16            .015547      .012681     .007203           4.388308            4.388305           4.420000             6             0
3.04          313                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           0               16            .015235      .012721     .007171           4.447930            4.447926           4.480000             6             0
3.06          312                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           0               16            .015476      .012318     .007831           4.424591            4.424589           4.450000             6             0
3.03          311                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           1               16            .020051      .018003     .006608           7.605886            7.605883           7.640000             6             0
2.88          313                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           1               16            1.009364     .013208     .013342           9.117271            9.117267           10.140000            6             0
3.03          313                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           1               16            1.021587     .012845     .014004           8.534811            8.534808           9.570000             6             0
2.99          311                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           1               16            .026702      .014376     .006720           10.829144           10.829142          10.870000            6             0
2.89          311                1                  0    1        32        61        1         0         5         10000     10000     0              25000            300         1           0           1               16            .013094      .012487     .006960           8.895982            8.895979           8.920000             6             0
