program  c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     0               6.18435              6.48                 477           986%       ~18120        795.407         2370.22          30.45            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     0               6.20124              6.51                 477           989%       ~18120        795.407         2370.22          30.98            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     0               6.23423              6.54                 468           987%       ~18120        795.407         2370.22          31.09            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     0               6.24377              6.53                 482           984%       ~18120        795.407         2370.22          30.61            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     0               6.26466              6.55                 487           984%       ~18120        795.407         2370.22          30.41            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     0               6.19006              6.48                 474           987%       ~18120        795.407         2370.22          30.28            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     1               8.21587              8.54                 481           789%       ~18120        795.407         2370.22          31.18            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     1               7.14258              8.60                 485           787%       ~18120        795.407         2370.22          31.44            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     1               7.85625              9.10                 483           740%       ~18120        795.407         2370.22          31.37            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     1               7.47628              8.90                 494           760%       ~18120        795.407         2370.22          31.57            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     1               7.78003              8.07                 489           833%       ~18120        795.407         2370.22          31.06            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     1               7.80326              8.99                 481           751%       ~18120        795.407         2370.22          31.30            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     1               7.73395              8.06                 486           830%       ~18120        795.407         2370.22          31.00            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     1               7.94184              9.25                 492           718%       ~18120        795.407         2370.22          30.42            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     1               7.04195              8.36                 478           800%       ~18120        795.407         2370.22          30.98            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     1               8.00628              9.43                 499           713%       ~18120        795.407         2370.22          31.20            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     2               10.9571              12.14                497           572%       ~18120        795.407         2370.22          31.46            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     2               11.1495              12.41                487           558%       ~18120        795.407         2370.22          31.48            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     2               10.8683              12.05                493           572%       ~18120        795.407         2370.22          31.45            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     2               11.3703              13.63                485           495%       ~18120        795.407         2370.22          30.66            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     2               12.4346              13.66                502           508%       ~18120        795.407         2370.22          32.08            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     2               11.5469              12.73                494           554%       ~18120        795.407         2370.22          32.36            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     2               12.0994              13.51                487           514%       ~18120        795.407         2370.22          31.72            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     2               11.0576              12.48                490           553%       ~18120        795.407         2370.22          31.69            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     2               12.2549              15.49                493           448%       ~18120        795.407         2370.22          31.34            on,threads             
51       RING      semidishonest  semi2k            3          NA            NA                 NA                 1000000     2               11.1054              13.31                492           521%       ~18120        795.407         2370.22          32.03            on,threads             
