comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     1           1           1           3               0             .159743      .081192     .012633           .109767             .173860            .292916              185           139
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     1           1           1           4               0             .195854      .109772     .013055           .171465             .294355            .436250              189           96
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     1           1           1           5               0             .214529      .101709     .013239           .306462             .423537            .606250              183           70
0.02          3                  1                  0    4        256       271       1         0         5         10000     10000     1           1           1           6               0             .217390      .133386     .013318           .467348             .802065            .897916              197           48
0.01          3                  1                  0    4        256       271       1         1         5         10000     10000     1           0           1           1               0             .041986      NA          .011753           .037069             .093724            .094583              147           317
0.01          3                  1                  0    4        256       271       1         1         5         10000     10000     1           0           1           2               0             .043515      NA          .013179           .079073             .181146            .210833              149           157
0.01          3                  1                  0    4        256       271       1         1         5         10000     10000     1           0           1           3               0             .126785      NA          .014150           .129056             .276087            .277083              148           129
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     1           0           1           4               0             .042961      NA          .014380           .173054             .358036            .359583              151           101
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     1           0           1           5               0             .126181      NA          .014606           .267863             .419676            .420833              145           87
0.02          3                  1                  0    4        256       271       1         1         5         10000     10000     1           0           1           6               0             .085646      NA          .014914           .406651             .785711            .829166              156           45
0.03          3                  1                  0    4        256       271       1         1         5         10000     10000     1           1           1           1               0             .086499      .055010     .009835           .041112             .076342            .140000              183           238
0.01          3                  1                  0    4        256       271       1         1         5         10000     10000     1           1           1           2               0             .087276      .057534     .010796           .081504             .129969            .198750              181           176
0.03          3                  1                  0    4        256       271       1         1         5         10000     10000     1           1           1           3               0             .167084      .052646     .011489           .110955             .170786            .329166              185           114
0.03          3                  1                  0    4        256       271       1         1         5         10000     10000     1           1           1           4               0             .337801      .055673     .011572           .170974             .287986            .532500              181           72
0.01          3                  1                  0    4        256       271       1         1         5         10000     10000     1           1           1           5               0             .213738      .162228     .011657           .281270             .566942            .662500              187           57
0.01          3                  1                  0    4        256       271       1         1         5         10000     10000     1           1           1           6               0             .201803      .294517     .011885           .370685             .556732            .817500              183           47
0.02          3                  1                  0    4        256       74        1         0         5         10000     10000     1           0           1           1               0             .042641      NA          .023077           .127926             .175405            .207500              197           273
0.03          3                  1                  0    4        256       74        1         0         5         10000     10000     1           0           1           2               0             .043010      NA          .023879           .214950             .300136            .300833              198           194
0.03          3                  1                  0    4        256       74        1         0         5         10000     10000     1           0           1           3               0             .043368      NA          .025237           .297081             .357429            .400833              199           154
0.01          3                  1                  0    4        256       74        1         0         5         10000     10000     1           0           1           4               0             .126767      NA          .027416           .403397             .572364            .573333              193           116
0.01          3                  1                  0    4        256       74        1         0         5         10000     10000     1           0           1           5               0             .168797      NA          .028649           .562965             .771424            .772083              204           90
