program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)  Preprocessing Time(s)  Online Phase(s)
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0602459            0.30                 214           231%       ~20           16.0002         48.0005          0.27             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0605088            0.31                 220           229%       ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0602317            0.30                 217           240%       ~20           16.0002         48.0005          0.29             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0650928            0.31                 216           236%       ~20           16.0002         48.0005          0.27             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0603264            0.29                 215           233%       ~20           16.0002         48.0005          0.18             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 10000            1000000     0.0672638            0.32                 210           216%       ~20           16.0002         48.0005          0.22             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.178444             0.42                 218           188%       ~20           16.0002         48.0005          0.26             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.177896             0.42                 214           181%       ~20           16.0002         48.0005          0.26             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.182236             0.45                 220           179%       ~20           16.0002         48.0005          0.26             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.17846              0.42                 215           184%       ~20           16.0002         48.0005          0.29             on,threads             
51       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1000             1000000     0.177011             0.43                 219           183%       ~20           16.0002         48.0005          0.24             on,threads             
